Account,Title,Location,Matched,URL
Robinhood,Senior Engineering Manager,"New York, NY",0,https://boards.greenhouse.io/robinhood/jobs/7804654?gh_jid=7804654
Robinhood,"Senior Engineering Manager, AI Research and Development",Bellevue/Menlo Park,0,https://boards.greenhouse.io/robinhood/jobs/7844218?gh_jid=7844218
Robinhood,Senior iOS Engineer,"Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/6675127?gh_jid=6675127
Robinhood,Senior Machine Learning Engineer,"Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7976529?gh_jid=7976529
Robinhood,Senior Network Reliability Engineer,"Bellevue, WA",1,https://boards.greenhouse.io/robinhood/jobs/7976534?gh_jid=7976534
Robinhood,Senior Penetration Tester,"Bellevue, WA",0,https://boards.greenhouse.io/robinhood/jobs/7939813?gh_jid=7939813
Robinhood,"Senior Security Engineer, AI Vulnerability Management","Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7728174?gh_jid=7728174
Robinhood,"Senior Security Engineer, AI Vulnerability Management","Toronto, Canada",0,https://boards.greenhouse.io/robinhood/jobs/7728176?gh_jid=7728176
Robinhood,"Senior Security Engineer, Application Security",Bellevue/Menlo Park,0,https://boards.greenhouse.io/robinhood/jobs/7918258?gh_jid=7918258
Robinhood,"Senior Software Developer, Infrastructure","Toronto, Canada",1,https://boards.greenhouse.io/robinhood/jobs/6889390?gh_jid=6889390
Robinhood,"Senior Software Developer, Kubernetes Compute","Toronto, Canada",1,https://boards.greenhouse.io/robinhood/jobs/7871254?gh_jid=7871254
Robinhood,Senior Software Engineer,"Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7975544?gh_jid=7975544
Robinhood,Senior Software Engineer,"Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7975563?gh_jid=7975563
Robinhood,Senior Software Engineer,"Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7975519?gh_jid=7975519
Robinhood,Senior Software Engineer,"Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7975551?gh_jid=7975551
Robinhood,Senior Software Engineer,"Ljubljana, Slovenia",0,https://boards.greenhouse.io/robinhood/jobs/7473817?gh_jid=7473817
Robinhood,"Senior Software Engineer, Backend",Menlo Park/NY,0,https://boards.greenhouse.io/robinhood/jobs/7264931?gh_jid=7264931
Robinhood,"Senior Software Engineer, Capacity & Efficiency","Bellevue, WA",0,https://boards.greenhouse.io/robinhood/jobs/7489675?gh_jid=7489675
Robinhood,"Senior Software Engineer, Cloud Integration","Ljubljana, Slovenia",1,https://boards.greenhouse.io/robinhood/jobs/7648454?gh_jid=7648454
Robinhood,"Senior Software Engineer, Data Engineering","Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/4738660?gh_jid=4738660
Robinhood,Senior Software Engineer - Robinhood Command Center,"Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7838644?gh_jid=7838644
Robinhood,"Senior Software Engineer, Robinhood Command Center","New York, NY",0,https://boards.greenhouse.io/robinhood/jobs/7993511?gh_jid=7993511
Robinhood,"Senior Software Engineer, Security Platform","Bellevue, WA",0,https://boards.greenhouse.io/robinhood/jobs/7899482?gh_jid=7899482
Robinhood,"Senior Software Engineer, Trade PMR","New York, NY",0,https://boards.greenhouse.io/robinhood/jobs/7684760?gh_jid=7684760
Robinhood,"Senior Staff Software Developer, Developer Productivity & AI Tooling","Toronto, Canada",0,https://boards.greenhouse.io/robinhood/jobs/6913966?gh_jid=6913966
Robinhood,"Senior Staff Software Engineer, Data Platform","Bellevue, WA",1,https://boards.greenhouse.io/robinhood/jobs/7729014?gh_jid=7729014
Robinhood,"Senior Web Engineer, Legend",Menlo Park/NY,0,https://boards.greenhouse.io/robinhood/jobs/7847004?gh_jid=7847004
Robinhood,"Software Developer, Kubernetes Compute","Toronto, Canada",1,https://boards.greenhouse.io/robinhood/jobs/7770009?gh_jid=7770009
Robinhood,"Software Developer, Provisioning","Toronto, Canada",0,https://boards.greenhouse.io/robinhood/jobs/4829946?gh_jid=4829946
Robinhood,Software Engineer,"Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7975557?gh_jid=7975557
Robinhood,Software Engineer,"Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7960734?gh_jid=7960734
Robinhood,Software Engineer,"Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7975480?gh_jid=7975480
Robinhood,Software Engineer,"Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7975507?gh_jid=7975507
Robinhood,Software Engineer,"Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7975516?gh_jid=7975516
Robinhood,Software Engineer,"Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7975526?gh_jid=7975526
Robinhood,Software Engineer,"Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7975529?gh_jid=7975529
Robinhood,Software Engineer,"Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7975530?gh_jid=7975530
Robinhood,Software Engineer,"Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7975531?gh_jid=7975531
Robinhood,Software Engineer,"Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7975549?gh_jid=7975549
Robinhood,Software Engineer,"Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7975550?gh_jid=7975550
Robinhood,Software Engineer,"Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7975558?gh_jid=7975558
Robinhood,"Software Engineer, Agentic AI","Bellevue, WA",0,https://boards.greenhouse.io/robinhood/jobs/7975477?gh_jid=7975477
Robinhood,"Software Engineer, Backend","Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/7263592?gh_jid=7263592
Robinhood,Staff Offensive Security Engineer,"Bellevue, WA",0,https://boards.greenhouse.io/robinhood/jobs/7460167?gh_jid=7460167
Robinhood,Staff Offensive Security Engineer,"Toronto, Canada",0,https://boards.greenhouse.io/robinhood/jobs/7460169?gh_jid=7460169
Robinhood,"Staff Security Engineer, Application Security",Bellevue/Menlo Park,0,https://boards.greenhouse.io/robinhood/jobs/7754299?gh_jid=7754299
Robinhood,Staff Software Engineer,"London, UK",0,https://boards.greenhouse.io/robinhood/jobs/7716677?gh_jid=7716677
Robinhood,"Staff Software Engineer, Core Exchange","Ljubljana, Slovenia",0,https://boards.greenhouse.io/robinhood/jobs/7716679?gh_jid=7716679
Robinhood,"Staff Software Engineer, Retirements Account","New York, NY",0,https://boards.greenhouse.io/robinhood/jobs/7804599?gh_jid=7804599
Robinhood,"Staff Software Engineer, Security","Bellevue, WA",0,https://boards.greenhouse.io/robinhood/jobs/7819461?gh_jid=7819461
Robinhood,"Staff Software Engineer, Web3",Menlo Park/NY,0,https://boards.greenhouse.io/robinhood/jobs/7489950?gh_jid=7489950
Robinhood,"Staff Software Engineer, Web3","Toronto, Canada",0,https://boards.greenhouse.io/robinhood/jobs/7489952?gh_jid=7489952
Robinhood,Senior Network Developer,"Toronto, Canada",0,https://boards.greenhouse.io/robinhood/jobs/8014801?gh_jid=8014801
Robinhood,"Engineering Manager, Prediction Markets","Menlo Park, CA",0,https://boards.greenhouse.io/robinhood/jobs/8036664?gh_jid=8036664
Robinhood,"Staff Software Engineer, Storage Platform","Bellevue, WA",1,https://boards.greenhouse.io/robinhood/jobs/8044227?gh_jid=8044227
Robinhood,Web Developer - Crypto Expansion,"Toronto, Canada",0,https://boards.greenhouse.io/robinhood/jobs/8049662?gh_jid=8049662
Faire,Applied AI / ML Scientist - Ads Bidding,"San Francisco, CA",0,https://boards.greenhouse.io/faire/jobs/8400765002?gh_jid=8400765002
Faire,Data Engineer - Analytics Platform,"Kitchener-Waterloo/Toronto, ON",0,https://boards.greenhouse.io/faire/jobs/8538503002?gh_jid=8538503002
Faire,Data Science Intern,"San Francisco, CA",0,https://boards.greenhouse.io/faire/jobs/8376377002?gh_jid=8376377002
Faire,Principal Applied AI / ML Engineer,"San Francisco, CA",0,https://boards.greenhouse.io/faire/jobs/8456064002?gh_jid=8456064002
Faire,Senior Analytics Engineer - GTM,"San Francisco, CA",0,https://boards.greenhouse.io/faire/jobs/8535853002?gh_jid=8535853002
Faire,Senior Analytics Engineer - Marketplace,"San Francisco, CA",0,https://boards.greenhouse.io/faire/jobs/8336548002?gh_jid=8336548002
Faire,Senior Analytics Engineer - Marketplace,"Toronto, ON",0,https://boards.greenhouse.io/faire/jobs/8449627002?gh_jid=8449627002
Faire,Senior Applied AI/ML Scientist - Ads Bidding,"San Francisco, CA",0,https://boards.greenhouse.io/faire/jobs/8398741002?gh_jid=8398741002
Faire,Senior Applied AI/ML Scientist - Compass,"Kitchener-Waterloo/Toronto, ON",0,https://boards.greenhouse.io/faire/jobs/8610312002?gh_jid=8610312002
Faire,Senior Applied AI/ML Scientist - Compass,"New York City/San Francisco, CA",0,https://boards.greenhouse.io/faire/jobs/8610263002?gh_jid=8610263002
Faire,Senior Applied AI/ML Scientist - Fulfillment,"San Francisco, CA",0,https://boards.greenhouse.io/faire/jobs/8525082002?gh_jid=8525082002
Faire,Senior Applied AI/ML Scientist - Listing Quality,"Toronto, ON",0,https://boards.greenhouse.io/faire/jobs/8227567002?gh_jid=8227567002
Faire,Senior Applied AI/ML Scientist - Listing Quality,"San Francisco, CA",0,https://boards.greenhouse.io/faire/jobs/8227562002?gh_jid=8227562002
Faire,Senior Applied AI/ML Scientist - Search,"San Francisco, CA",0,https://boards.greenhouse.io/faire/jobs/7934398002?gh_jid=7934398002
Faire,Senior Applied AI/ML Scientist - Search,"Kitchener-Waterloo/Toronto, ON",0,https://boards.greenhouse.io/faire/jobs/7934426002?gh_jid=7934426002
Faire,Senior Engineering Manager - Discovery,"San Francisco, CA",0,https://boards.greenhouse.io/faire/jobs/8564077002?gh_jid=8564077002
Faire,Senior Frontend or Backend Engineer - Growth,"Kitchener-Waterloo/Toronto, ON",0,https://boards.greenhouse.io/faire/jobs/8465048002?gh_jid=8465048002
Faire,Senior Software Engineer - Growth,"Kitchener-Waterloo/Toronto, ON",0,https://boards.greenhouse.io/faire/jobs/8465041002?gh_jid=8465041002
Faire,Senior Staff Data Engineer - Platform Data and Analytics,"Kitchener-Waterloo/Toronto, ON",1,https://boards.greenhouse.io/faire/jobs/8612419002?gh_jid=8612419002
Faire,Senior Staff Data Engineer - Platform Data and Analytics,"San Francisco, CA",1,https://boards.greenhouse.io/faire/jobs/8612420002?gh_jid=8612420002
Faire,Senior Staff Engineer - Product Security,LA/NYC/SF,0,https://boards.greenhouse.io/faire/jobs/8462924002?gh_jid=8462924002
Faire,Senior Staff Engineer - Product Security,"Kitchener-Waterloo/Toronto, ON",0,https://boards.greenhouse.io/faire/jobs/8462925002?gh_jid=8462925002
Faire,Senior Staff Machine Learning Platform Engineer,"Kitchener-Waterloo/Toronto, ON",1,https://boards.greenhouse.io/faire/jobs/8618464002?gh_jid=8618464002
Faire,Senior Staff Machine Learning Platform Engineer,"San Francisco, CA",1,https://boards.greenhouse.io/faire/jobs/8618460002?gh_jid=8618460002
Faire,Software Engineer - Retailer Growth,"Kitchener-Waterloo/Toronto, ON",0,https://boards.greenhouse.io/faire/jobs/8603123002?gh_jid=8603123002
Faire,Staff Applied ML/AI Scientist - Search,"Kitchener-Waterloo/Toronto, ON",0,https://boards.greenhouse.io/faire/jobs/8618151002?gh_jid=8618151002
Faire,Staff Applied ML/AI Scientist - Search,"New York City/San Francisco, CA",0,https://boards.greenhouse.io/faire/jobs/8618124002?gh_jid=8618124002
Faire,Staff Backend Engineer - Search FX,"San Francisco, CA",0,https://boards.greenhouse.io/faire/jobs/8523826002?gh_jid=8523826002
Faire,Staff Backend Engineer - Search FX,"Kitchener-Waterloo/Toronto, ON",0,https://boards.greenhouse.io/faire/jobs/8523771002?gh_jid=8523771002
Faire,"Staff Engineer, Enterprise AI","San Francisco, CA",0,https://boards.greenhouse.io/faire/jobs/8536687002?gh_jid=8536687002
Faire,Staff Engineer - Growth Platform,"Kitchener-Waterloo/Toronto, ON",1,https://boards.greenhouse.io/faire/jobs/8558462002?gh_jid=8558462002
Faire,Staff Engineer - Product Security,"Kitchener-Waterloo/Toronto, ON",0,https://boards.greenhouse.io/faire/jobs/8552817002?gh_jid=8552817002
Faire,Staff Engineer - Product Security,LA/NYC/SF,0,https://boards.greenhouse.io/faire/jobs/8552826002?gh_jid=8552826002
Faire,Senior Platform Analytics Engineer,"Kitchener-Waterloo/Toronto, ON",0,https://boards.greenhouse.io/faire/jobs/8569249002?gh_jid=8569249002
Faire,Senior Backend Engineer - Brand Platform,"San Francisco, CA",1,https://boards.greenhouse.io/faire/jobs/8620224002?gh_jid=8620224002
Faire,Staff Backend Engineer - Ads Formats,"Kitchener-Waterloo/Toronto, ON",0,https://boards.greenhouse.io/faire/jobs/8609131002?gh_jid=8609131002
Gusto,Enterprise Application AI Architect,Multi-US / Remote,0,https://job-boards.greenhouse.io/gusto/jobs/7369003
Gusto,Head of AI and Machine Learning Engineering,Denver/SF/NY,0,https://job-boards.greenhouse.io/gusto/jobs/7948318
Gusto,Data Governance Technical Program Manager,"Denver, CO",0,https://job-boards.greenhouse.io/gusto/jobs/7982793
Gusto,"Frontend Full Stack Staff SWE, AI Platform Experiences",NY/Seattle,1,https://job-boards.greenhouse.io/gusto/jobs/7732015
Gusto,Retirement AI Staff Engineer,Denver/SF/NY,0,https://job-boards.greenhouse.io/gusto/jobs/7986047
Gusto,Principal Software Engineer - Pay Group Engineering,Denver/SF/NY,0,https://job-boards.greenhouse.io/gusto/jobs/7027020
Gusto,Sr. Staff AI/ML Engineer,Denver/SF/NY/LA,0,https://job-boards.greenhouse.io/gusto/jobs/7307124
Gusto,Staff Business Systems Analyst,Denver/SF,0,https://job-boards.greenhouse.io/gusto/jobs/7815573
Gusto,Staff Data Scientist - Growth,SF/NY,0,https://job-boards.greenhouse.io/gusto/jobs/7557049
Gusto,"Staff Data Scientist, Risk",SF/NY,0,https://job-boards.greenhouse.io/gusto/jobs/7656216
Gusto,Staff Data Scientist - Time Products,SF/NY,0,https://job-boards.greenhouse.io/gusto/jobs/7524662
Gusto,"Staff Software Engineer, Database Infrastructure",Denver/SF/NY/LA/Seattle,1,https://job-boards.greenhouse.io/gusto/jobs/7413644
Gusto,"Staff Software Engineer, Developer Productivity Async","SF, CA",0,https://job-boards.greenhouse.io/gusto/jobs/7947658
Gusto,"Staff Software Engineer, Growth (Orchestration Platform)","SF, CA",1,https://job-boards.greenhouse.io/gusto/jobs/7985867
Gusto,"Staff Software Engineer, Growth (Revenue Enablement)","SF, CA",0,https://job-boards.greenhouse.io/gusto/jobs/7673999
Gusto,"Staff Software Engineer, Platform Orchestration","SF, CA",0,https://job-boards.greenhouse.io/gusto/jobs/7863130
Gusto,"Staff Software Engineer, AI Security","SF, CA",0,https://job-boards.greenhouse.io/gusto/jobs/7590298
Gusto,"Staff Software Engineer, Android Identity","SF, CA",0,https://job-boards.greenhouse.io/gusto/jobs/6923172
Gusto,"Staff Software Engineer, AI Developer Tools",Multi-US / Remote,0,https://job-boards.greenhouse.io/gusto/jobs/7947684
Gusto,"Staff Software Engineer, Core Platforms",SF/Denver/NY,1,https://job-boards.greenhouse.io/gusto/jobs/7760341
Gusto,"Staff Software Engineer, Core Products",SF/Denver/NY,0,https://job-boards.greenhouse.io/gusto/jobs/7458337
Gusto,"Staff Software Engineer, Payments / Risk",SF/NY,0,https://job-boards.greenhouse.io/gusto/jobs/7822587
Gusto,Senior Staff Network Engineer - Network Security,"SF, CA",0,https://job-boards.greenhouse.io/gusto/jobs/7833228
Gusto,"Senior Staff IT Controls, Enterprise Applications",SF/Seattle,0,https://job-boards.greenhouse.io/gusto/jobs/7905578
Gusto,"Senior Staff Engineer - Tax Platform Engineering","San Francisco, CA",1,https://job-boards.greenhouse.io/gusto/jobs/8013480
Chime,AI/ML Engineer,"San Francisco, CA",0,https://boards.greenhouse.io/chime/jobs/8569368002
Chime,Data Governance Engineer,"San Francisco, CA",0,https://boards.greenhouse.io/chime/jobs/8525098002
Chime,"Data Scientist, Growth Product","San Francisco, CA",0,https://boards.greenhouse.io/chime/jobs/8586430002
Chime,"Engineering Manager, Data Platform","San Francisco, CA",1,https://boards.greenhouse.io/chime/jobs/8477424002
Chime,"Engineering Manager, Spending, Savings & Investing","San Francisco, CA",0,https://boards.greenhouse.io/chime/jobs/8535340002
Chime,"Mobile Software Engineer, Lending","San Francisco, CA",0,https://boards.greenhouse.io/chime/jobs/8535338002
Chime,Senior AI/ML Engineer,Chicago/NY/SF/Seattle,0,https://boards.greenhouse.io/chime/jobs/8569366002
Chime,"Senior Data Scientist, Growth Product","San Francisco, CA",0,https://boards.greenhouse.io/chime/jobs/8586440002
Chime,"Senior Data Scientist, Spending","San Francisco, CA",0,https://boards.greenhouse.io/chime/jobs/8586462002
Chime,"Senior Data Scientist, Trust & Safety","San Francisco, CA",0,https://boards.greenhouse.io/chime/jobs/8586463002
Chime,"Senior Frontend Engineer, Design Systems",NY/SF,0,https://boards.greenhouse.io/chime/jobs/8375225002
Chime,"Senior Full-Stack Engineer, App Journey (GraphQL)",NY/SF,0,https://boards.greenhouse.io/chime/jobs/8485955002
Chime,Senior Offensive Security Engineer,"San Francisco, CA",0,https://boards.greenhouse.io/chime/jobs/8121830002
Chime,Senior Security Engineer,NY/SF,0,https://boards.greenhouse.io/chime/jobs/8575572002
Chime,Senior Software Engineer (Chicago),"Chicago, IL",0,https://boards.greenhouse.io/chime/jobs/8400999002
Chime,"Senior Software Engineer, Data Engineering","San Francisco, CA",0,https://boards.greenhouse.io/chime/jobs/8505462002
Chime,"Senior Ruby Full-Stack SWE, Disputes Intake","Chicago, IL",0,https://boards.greenhouse.io/chime/jobs/8499443002
Chime,"Software Engineer, Credit Risk Platform","San Francisco, CA",1,https://boards.greenhouse.io/chime/jobs/8219793002
Chime,"Software Engineer, Deposits & Insights","San Francisco, CA",0,https://boards.greenhouse.io/chime/jobs/8523547002
Chime,"Software Engineer, Financial Platform",NY/SF/Seattle,1,https://boards.greenhouse.io/chime/jobs/8594959002
Chime,"Software Engineer, Infrastructure","Remote, USA",1,https://boards.greenhouse.io/chime/jobs/8573625002
Chime,"Software Engineer, Instant Loans","San Francisco, CA",0,https://boards.greenhouse.io/chime/jobs/8433840002
Chime,"Software Engineer, Machine Learning Platform","San Francisco, CA",1,https://boards.greenhouse.io/chime/jobs/8505460002
Chime,"Software Engineer, MyPay","San Francisco, CA",0,https://boards.greenhouse.io/chime/jobs/8499450002
Chime,Product Security Engineer,"San Francisco, CA",0,https://boards.greenhouse.io/chime/jobs/8141068002
Chime,"Manager, Product Security","San Francisco, CA",0,https://boards.greenhouse.io/chime/jobs/8526680002
Chime,"Software Engineer, Infrastructure","Remote, USA",1,https://boards.greenhouse.io/chime/jobs/8616359002
Chime,"Senior Software Engineer, Platform","San Francisco, CA",1,https://boards.greenhouse.io/chime/jobs/8525883002
Lyft,Business Systems Engineer,"Mexico City, MX",0,https://app.careerpuck.com/job-board/lyft/job/8483264002?gh_jid=8483264002
Lyft,"Business Systems Engineer, Oracle EPM","Toronto, Canada",0,https://app.careerpuck.com/job-board/lyft/job/8578270002?gh_jid=8578270002
Lyft,"Business Systems Engineer, Oracle OTC","Mexico City, MX",0,https://app.careerpuck.com/job-board/lyft/job/8464813002?gh_jid=8464813002
Lyft,"Business Systems Engineer, Oracle PTM","Toronto, Canada",0,https://app.careerpuck.com/job-board/lyft/job/8482826002?gh_jid=8482826002
Lyft,"Business Systems Engineer, Oracle STP","Mexico City, MX",0,https://app.careerpuck.com/job-board/lyft/job/8483261002?gh_jid=8483261002
Lyft,"Business Systems Engineer, Tax Technology","Toronto, Canada",0,https://app.careerpuck.com/job-board/lyft/job/8582874002?gh_jid=8582874002
Lyft,Data Engineer,"Mexico City, MX",0,https://app.careerpuck.com/job-board/lyft/job/8594129002?gh_jid=8594129002
Lyft,"Engineering Manager – Data Platform, Lakehouse Foundation","Toronto, Canada",1,https://app.careerpuck.com/job-board/lyft/job/8578280002?gh_jid=8578280002
Lyft,Firmware Test Engineer,"San Francisco, CA",0,https://app.careerpuck.com/job-board/lyft/job/8559583002?gh_jid=8559583002
Lyft,iOS Tooling Engineer,"Toronto, Canada",0,https://app.careerpuck.com/job-board/lyft/job/8297733002?gh_jid=8297733002
Lyft,"Senior AI Software Engineer, Risk - Insurance Claims","Seattle, WA",0,https://app.careerpuck.com/job-board/lyft/job/8508372002?gh_jid=8508372002
Lyft,"Senior AI Software Engineer, Risk - Insurance Claims","San Francisco, CA",0,https://app.careerpuck.com/job-board/lyft/job/8508346002?gh_jid=8508346002
Lyft,"Senior Android Engineer, Mobile Foundations","San Francisco, CA",0,https://app.careerpuck.com/job-board/lyft/job/8378420002?gh_jid=8378420002
Lyft,"Senior Engineering Manager, Mapping","Toronto, Canada",0,https://app.careerpuck.com/job-board/lyft/job/8538295002?gh_jid=8538295002
Lyft,Senior iOS Tooling Engineer,"Toronto, Canada",0,https://app.careerpuck.com/job-board/lyft/job/8289497002?gh_jid=8289497002
Lyft,"Senior Machine Learning Engineer, Recommendations","San Francisco, CA",0,https://app.careerpuck.com/job-board/lyft/job/8430552002?gh_jid=8430552002
Lyft,"Senior ML Software Engineer, Mapping","San Francisco, CA",0,https://app.careerpuck.com/job-board/lyft/job/8421650002?gh_jid=8421650002
